,Coefficient
one_hot_encoder__gender_F,-0.023803498419358998
one_hot_encoder__gender_M,-0.04985358631153127
one_hot_encoder__age_18-22,-0.10141315880346115
one_hot_encoder__age_23-45,0.0012664227207872661
one_hot_encoder__age_46+,0.026489651351620496
one_hot_encoder__ethnicity_Asian,0.02065129659841255
one_hot_encoder__ethnicity_Black or African American,0.29333971805137676
one_hot_encoder__ethnicity_Hispano or Latino,-0.0336207017132177
one_hot_encoder__ethnicity_Middle Eastern,-0.57213332740782
one_hot_encoder__ethnicity_Multiracial,0.4344406426161754
one_hot_encoder__ethnicity_White or Caucasian,0.026959022865458895
one_hot_encoder__ethnicity_other,-0.24329373574138208
one_hot_encoder__study_level_Bachelor’s degree,-0.014545345540684908
one_hot_encoder__study_level_Doctorate,-0.049505107427141
one_hot_encoder__study_level_High school degree or equivalent,-0.12615882891132832
one_hot_encoder__study_level_Less than high school diploma,0.013663321481519284
one_hot_encoder__study_level_Master’s degree,-0.020717231176794085
one_hot_encoder__study_level_other,0.12360610684341367
one_hot_encoder__country_Afghanistan,-0.03436899911944199
one_hot_encoder__country_Algeria,1.1617542736177193
one_hot_encoder__country_Argentina,0.0980628657631833
one_hot_encoder__country_Australia,-0.08501074187376918
one_hot_encoder__country_Belgium,-0.09988821032381968
one_hot_encoder__country_Brazil,1.003823079725431
one_hot_encoder__country_Canada,0.1225187255379637
one_hot_encoder__country_Chile,0.20538328416885177
one_hot_encoder__country_Colombia,0.2754252599921445
one_hot_encoder__country_Cuba,1.2324238860538272
one_hot_encoder__country_Cyprus,0.4686546213131519
one_hot_encoder__country_Czech Republic,-0.18452606636215999
one_hot_encoder__country_Dominican Republic,0.5472702504670439
one_hot_encoder__country_El Salvador,-0.4083737053016155
one_hot_encoder__country_Estonia,0.13395590679551078
one_hot_encoder__country_Finland,-0.7893707738143884
one_hot_encoder__country_France,0.2121034842535097
one_hot_encoder__country_Germany,-0.20028782716564392
one_hot_encoder__country_Greece,-0.06977748429527136
one_hot_encoder__country_Hungary,-0.15005899676707068
one_hot_encoder__country_Ireland,-0.0004758156400110026
one_hot_encoder__country_Israel,0.14564957341550488
one_hot_encoder__country_Italy,0.23038890681580573
one_hot_encoder__country_Latvia,-0.44372637646205365
"one_hot_encoder__country_Macedonia, The Former Yugoslav Republic of",-1.273497177427118
one_hot_encoder__country_Mexico,0.05971020860058975
one_hot_encoder__country_Nepal,-0.605688570944479
one_hot_encoder__country_Netherlands,-0.14271146982210223
one_hot_encoder__country_New Zealand,-0.49645647948147686
one_hot_encoder__country_Norway,-0.6968060257848967
one_hot_encoder__country_Panama,-0.5032828191217585
one_hot_encoder__country_Peru,0.47604963232057834
one_hot_encoder__country_Poland,-0.24089894369419967
one_hot_encoder__country_Portugal,-0.07819240279279181
one_hot_encoder__country_Puerto Rico,0.08995782863291264
one_hot_encoder__country_Romania,0.35819849500042805
one_hot_encoder__country_Russian Federation,-0.21784780770342696
one_hot_encoder__country_Serbia,0.41305239848073305
one_hot_encoder__country_Slovenia,-0.46578796853531906
one_hot_encoder__country_South Africa,-0.4864627208274633
one_hot_encoder__country_Spain,0.058240966355621634
one_hot_encoder__country_United Kingdom,-0.12015051835104708
one_hot_encoder__country_United States,0.13842930366557887
one_hot_encoder__country_Venezuela,0.041303295985772474
one_hot_encoder__country_Viet Nam,0.24763456991856017
